scope,series_type,label,adds,removes,net_apps,total_moves,sample_apps
all-games,raw-genre,Early Access,135,156,-21,291,"A.L.A.R.M. - Autistic Lovely Assassins Rise of the Matriarchy, Cube Kingdoms, Draw Steel"
all-games,raw-genre,Indie,119,40,79,159,"All Will Fall, Fear Faith, Power Of The Horde"
all-games,raw-genre,Casual,92,52,40,144,"Chrono Vanguard: Primal Survival - Dinosaur, Hydra TD, Kin and Quarry"
all-games,raw-genre,Adventure,85,37,48,122,"4 Penny Coffins, Chrono Vanguard: Primal Survival - Dinosaur, Luminids"
all-games,raw-genre,Free to Play,78,37,41,115,"DEADLINE DELIVERY, Depths Of Horror: Mushroom Day, Demetrios - The BIG Cynical Adventure"
all-games,raw-genre,Simulation,63,49,14,112,"Hydra TD, Power Of The Horde, Crow Forest: New World"
all-games,raw-genre,Action,65,39,26,104,"Fear Faith, I Know a Guy: Shady Life Simulator, SANITY"
all-games,raw-genre,Strategy,57,35,22,92,"Keyboard Warrior: Dreamstate Prologue, Question Roulette, AM I HERE?"
all-games,raw-genre,RPG,49,35,14,84,"Power Of The Horde, SANITY, Veldrak: Dark Revenant"
all-games,raw-genre,Massively Multiplayer,11,14,-3,25,"封魔剑魂, Madnessarum, Bring the Thing!"
all-games,raw-genre,Racing,9,8,1,17,"DisGo, Beat For Speed, Go-Kart Simulator"
all-games,raw-genre,Sports,8,7,1,15,"Drift Empire, RACCOIN: Coin Pusher Roguelike, Rhell: Warped Worlds & Troubled Times"
all-games,raw-genre,Violent,0,3,-3,3,"Hollow, Mastema: Out of Hell, Titanic: Adventure Out Of Time"
all-games,raw-genre,Nudity,0,2,-2,2,"Hollow, Tender Loving Care"
all-games,raw-genre,Accounting,0,1,-1,1,Tender Loving Care
all-games,raw-genre,Audio Production,0,1,-1,1,Tender Loving Care
all-games,raw-genre,Gore,0,1,-1,1,Hollow
all-games,raw-genre,Sexual Content,0,1,-1,1,Tender Loving Care
all-games,raw-genre,Utilities,1,0,1,1,Shadowforge
all-games,raw-genre,Video Production,1,0,1,1,Shadowforge
all-games,raw-tag,Indie,112,79,33,191,"4 Penny Coffins, Fear Faith, One More 6ix"
all-games,raw-tag,Singleplayer,104,79,25,183,"Before the Silence Claims: In Absentia, My Horny Roomies, Ovidius (Blood for Love)"
all-games,raw-tag,Adventure,50,74,-24,124,"4 Penny Coffins, Bootstrap, Chrono Vanguard: Primal Survival - Dinosaur"
all-games,raw-tag,Early Access,59,63,-4,122,"Game Saloon Simulator, Ignarus, Jupiter"
