dimension_type,series_type,label,label_key,group_label,adds,removes,window_net,total_moves,early_avg_net,late_avg_net,momentum_delta,sample_apps
theme,theme,Action & Combat,action & combat,Action & Combat,229,182,47,411,2.6250,1.2500,-1.3750,"Biped 2, Chess Kingdom, Drunkslop: Pub crawl COOP"
theme,theme,Adventure & Story,adventure & story,Adventure & Story,217,165,52,382,2.3750,2.2500,-0.1250,"4 Penny Coffins, Bootstrap, Chrono Vanguard: Primal Survival - Dinosaur"
theme,theme,Atmosphere & Horror,atmosphere & horror,Atmosphere & Horror,93,65,28,158,1.0000,0.2500,-0.7500,"Drunkslop: Pub crawl COOP, One More 6ix, Quack Hunters"
theme,theme,Indie & Casual,indie & casual,Indie & Casual,455,315,140,770,7.1250,4.7500,-2.3750,"4 Penny Coffins, All Will Fall, Biped 2"
theme,theme,Lifecycle & Business Model,lifecycle & business model,Lifecycle & Business Model,240,228,12,468,-1.8750,0.6250,2.5000,"A.L.A.R.M. - Autistic Lovely Assassins Rise of the Matriarchy, Bio Inc. Redemption, Cube Kingdoms"
theme,theme,Other,other,Other,877,808,69,1685,1.3750,4.1250,2.7500,"Before the Silence Claims: In Absentia, Bio Inc. Redemption, Biped 2"
theme,theme,Play Modes & Social,play modes & social,Play Modes & Social,194,142,52,336,2.3750,0.8750,-1.5000,"Before the Silence Claims: In Absentia, Car Rental Simulator: Prologue - Early Days, Depths Of Horror: Mushroom Day"
theme,theme,RPG & Fantasy,rpg & fantasy,RPG & Fantasy,170,125,45,295,0.3750,1.1250,0.7500,"Bootstrap, Dread Admiral, Eternal Hunger"
theme,theme,Simulation & Sandbox,simulation & sandbox,Simulation & Sandbox,148,105,43,253,1.5000,1.1250,-0.3750,"Drunkslop: Pub crawl COOP, Hydra TD, Nested Lands"
theme,theme,Sports & Racing,sports & racing,Sports & Racing,21,28,-7,49,-1.0000,-0.1250,0.8750,"DisGo, Beat For Speed, Go-Kart Simulator"
theme,theme,Strategy & Management,strategy & management,Strategy & Management,106,70,36,176,2.2500,0.8750,-1.3750,"Power Of The Horde, Subliminal, Keyboard Warrior: Dreamstate Prologue"
theme,theme,Tech & AI,tech & ai,Tech & AI,23,16,7,39,-0.1250,0.0000,0.1250,"Jokerina: Lust Card, Tomorrow's Love Puzzle, Bloody Rally Show"
theme,theme,Visual & Format,visual & format,Visual & Format,153,138,15,291,1.0000,0.5000,-0.5000,"Before the Silence Claims: In Absentia, Depths Of Horror: Mushroom Day, Drunkslop: Pub crawl COOP"
genre,raw-genre,Accounting,accounting,Genres,0,1,-1,1,0.0000,0.0000,0.0000,Tender Loving Care
genre,raw-genre,Action,action,Genres,65,39,26,104,0.8750,0.7500,-0.1250,"Fear Faith, I Know a Guy: Shady Life Simulator, SANITY"
genre,raw-genre,Adventure,adventure,Genres,85,37,48,122,2.1250,2.3750,0.2500,"4 Penny Coffins, Chrono Vanguard: Primal Survival - Dinosaur, Luminids"
genre,raw-genre,Audio Production,audio production,Genres,0,1,-1,1,0.0000,0.0000,0.0000,Tender Loving Care
genre,raw-genre,Casual,casual,Genres,92,52,40,144,1.6250,1.5000,-0.1250,"Chrono Vanguard: Primal Survival - Dinosaur, Hydra TD, Kin and Quarry"
genre,raw-genre,Early Access,early access,Genres,135,156,-21,291,-2.0000,-1.3750,0.6250,"A.L.A.R.M. - Autistic Lovely Assassins Rise of the Matriarchy, Cube Kingdoms, Draw Steel"
genre,raw-genre,Free to Play,free to play,Genres,78,37,41,115,1.1250,2.2500,1.1250,"DEADLINE DELIVERY, Depths Of Horror: Mushroom Day, Demetrios - The BIG Cynical Adventure"
genre,raw-genre,Gore,gore,Genres,0,1,-1,1,0.0000,-0.1250,-0.1250,Hollow
genre,raw-genre,Indie,indie,Genres,119,40,79,159,4.7500,2.7500,-2.0000,"All Will Fall, Fear Faith, Power Of The Horde"
genre,raw-genre,Massively Multiplayer,massively multiplayer,Genres,11,14,-3,25,-0.2500,-0.2500,0.0000,"封魔剑魂, Madnessarum, Bring the Thing!"
genre,raw-genre,Nudity,nudity,Genres,0,2,-2,2,0.0000,-0.1250,-0.1250,"Hollow, Tender Loving Care"
genre,raw-genre,Racing,racing,Genres,9,8,1,17,0.0000,-0.2500,-0.2500,"DisGo, Beat For Speed, Go-Kart Simulator"
genre,raw-genre,RPG,rpg,Genres,49,35,14,84,-0.1250,0.7500,0.8750,"Power Of The Horde, SANITY, Veldrak: Dark Revenant"
genre,raw-genre,Sexual Content,sexual content,Genres,0,1,-1,1,0.0000,0.0000,0.0000,Tender Loving Care
genre,raw-genre,Simulation,simulation,Genres,63,49,14,112,0.1250,0.2500,0.1250,"Hydra TD, Power Of The Horde, Crow Forest: New World"
genre,raw-genre,Sports,sports,Genres,8,7,1,15,-0.3750,0.1250,0.5000,"Drift Empire, RACCOIN: Coin Pusher Roguelike, Rhell: Warped Worlds & Troubled Times"
genre,raw-genre,Strategy,strategy,Genres,57,35,22,92,1.2500,0.5000,-0.7500,"Keyboard Warrior: Dreamstate Prologue, Question Roulette, AM I HERE?"
genre,raw-genre,Utilities,utilities,Genres,1,0,1,1,0.0000,0.1250,0.1250,Shadowforge
genre,raw-genre,Video Production,video production,Genres,1,0,1,1,0.0000,0.1250,0.1250,Shadowforge
genre,raw-genre,Violent,violent,Genres,0,3,-3,3,0.0000,-0.2500,-0.2500,"Hollow, Mastema: Out of Hell, Titanic: Adventure Out Of Time"
tag,raw-tag,1980s,1980s,Other,5,2,3,7,0.2500,0.0000,-0.2500,"Streets of Miami VR, An Odd Walk: Shinjuku Alley, BROTANK"
tag,raw-tag,1990's,1990's,Other,10,11,-1,21,-0.2500,0.2500,0.5000,"Culdcept The First Saturn Tribute, Fear Faith, 100FRIENDS"
tag,raw-tag,2.5D,2.5d,Other,8,6,2,14,0.5000,0.1250,-0.3750,"FZ: Formation Z, Pop!chinko, Ink Inside"
tag,raw-tag,2D,2d,Visual & Format,30,27,3,57,0.2500,-0.1250,-0.3750,"Pretty Girl Puzzle · Summer Phantom, The Posthumous Investigation, Xenonauts 2"
tag,raw-tag,2D Fighter,2d fighter,Other,3,6,-3,9,0.0000,-0.2500,-0.2500,"封魔剑魂, BROKEN SOUL : Boss Rush, Gladiatory"
tag,raw-tag,2D Platformer,2d platformer,Other,8,10,-2,18,-0.2500,0.0000,0.2500,"Eternal Hunger, FZ: Formation Z, BROKEN SOUL : Boss Rush"
tag,raw-tag,360 Video,360 video,Other,1,0,1,1,0.0000,0.0000,0.0000,PatchWorld
tag,raw-tag,3D,3d,Visual & Format,41,49,-8,90,-0.5000,0.0000,0.5000,"Before the Silence Claims: In Absentia, Depths Of Horror: Mushroom Day, Moving Day: Make It Home"
tag,raw-tag,3D Fighter,3d fighter,Other,4,3,1,7,0.0000,0.0000,0.0000,"Streets of Miami VR, 樱梦海, Elementers"
tag,raw-tag,3D Platformer,3d platformer,Other,12,16,-4,28,0.0000,-0.3750,-0.3750,"Sanechek: Lost Coins, 胶囊军团, Cheat Line"
tag,raw-tag,3D Vision,3d vision,Other,3,3,0,6,0.0000,0.1250,0.1250,"Rotminers, 4Wheel Challenge, SILENCY"
tag,raw-tag,4 Player Local,4 player local,Other,3,2,1,5,0.0000,0.1250,0.1250,"Fortune Avenue, Explosive Track - Crazy Action Arcade Racing, Kingdomino"
tag,raw-tag,4X,4x,Other,3,4,-1,7,-0.2500,-0.1250,0.1250,"Power Of The Horde, Three Kingdoms : Alias, Poly Kingdom: Siege"
tag,raw-tag,6DOF,6dof,Other,1,3,-2,4,-0.1250,0.0000,0.1250,"Friendly Steps, Hyperlane Highway, Neolithic Dawn"
tag,raw-tag,Abstract,abstract,Other,8,7,1,15,-0.1250,0.0000,0.1250,"Joker Madness 🃏, Warnet, Pillars of Sorrow"
tag,raw-tag,Action,action,Action & Combat,48,51,-3,99,-0.5000,0.5000,1.0000,"Drunkslop: Pub crawl COOP, Fear Faith, Power Of The Horde"
tag,raw-tag,Action Roguelike,action roguelike,Other,20,20,0,40,-0.1250,-0.2500,-0.1250,"Chronos Trap in Time, 七神器, 胶囊军团"
